x, y, th, stamp, 
-2.352832078933716,1.6618857383728027,2.5954761188882034,1696619072954635913,
-2.365556240081787,1.6696162223815918,2.658723547693865,1696619073004944189,
-2.376260280609131,1.6751586198806763,2.709511267437962,1696619073045440826,
-2.3898706436157227,1.681281328201294,2.7714888566106644,1696619073095997258,
-2.4045982360839844,1.6865713596343994,2.8290553449738622,1696619073145185039,
-2.4195849895477295,1.6911035776138306,2.888900955639938,1696619073194797441,
-2.4350168704986572,1.6947954893112183,2.949955951793183,1696619073244999843,
-2.447570323944092,1.6970359086990356,2.9974140948600656,1696619073285054422,
-2.469515085220337,1.6996324062347412,3.079537626904823,1696619073355404085,
-2.4852206707000732,1.7004035711288452,3.137895822752276,1696619073404775685,
-2.4976072311401367,1.700250506401062,-3.0977890496501703,1696619073444766503,
-2.5139851570129395,1.699393630027771,-3.037614832617103,1696619073496291572,
-2.530022621154785,1.697268009185791,-2.9809103132159676,1696619073545325566,
-2.5457096099853516,1.69450044631958,-2.9233393560346044,1696619073594723588,
-2.56463623046875,1.6898908615112305,-2.854809303659633,1696619073656149863,
-2.580153465270996,1.684970498085022,-2.799597981617055,1696619073704703535,
-2.589214324951172,1.6816887855529785,-2.7658071120936167,1696619073734988321,
-2.610391616821289,1.6727874279022217,-2.685424563576097,1696619073805814017,
-2.6217219829559326,1.6669570207595825,-2.6415526582906854,1696619073845226367,
-2.635748863220215,1.6588679552078247,-2.5872014981465936,1696619073895252508,
-2.6496243476867676,1.650042176246643,-2.5327161398669307,1696619073945293023,
-2.6628682613372803,1.64036226272583,-2.4784843568044295,1696619073994963314,
-2.675719976425171,1.6300055980682373,-2.421947739007612,1696619074044535275,
-2.6854114532470703,1.62117338180542,-2.378803058189268,1696619074085504545,
-2.697112798690796,1.6096348762512207,-2.3253884389781003,1696619074135189239,
-2.708209991455078,1.597447156906128,-2.272305752332413,1696619074184543476,
-2.7207324504852295,1.582078456878662,-2.2070804567765006,1696619074245450004,
-2.7302236557006836,1.568371295928955,-2.1534610840294315,1696619074294568988,
-2.739109754562378,1.5545533895492554,-2.099995032606634,1696619074345443097,
-2.7472622394561768,1.5400474071502686,-2.048721351985027,1696619074395451109,
-2.7547783851623535,1.5250720977783203,-1.9977092320985301,1696619074444545334,
-2.7602851390838623,1.5126558542251587,-1.955800063104644,1696619074484666094,
-2.7663891315460205,1.4967985153198242,-1.9038856808036309,1696619074534696808,
-2.773832082748413,1.4742623567581177,-1.8316759670573872,1696619074605450588,
-2.7773330211639404,1.4609111547470093,-1.7906937726241126,1696619074645656282,
-2.7806308269500732,1.4446592330932617,-1.7413280090441743,1696619074694577883,
-2.7833831310272217,1.4280527830123901,-1.6898278054266924,1696619074745445744,
-2.785109758377075,1.4109506607055664,-1.639553856734374,1696619074795459117,
-2.78601336479187,1.3939491510391235,-1.5905620773905884,1696619074845489533,
-2.7863049507141113,1.38019859790802,-1.5502533403324292,1696619074886483794,
-2.785301685333252,1.356369972229004,-1.4823548986893547,1696619074955523258,
-2.783574342727661,1.3395135402679443,-1.4337309462290901,1696619075005459952,
-2.7817583084106445,1.3256405591964722,-1.3926922796303842,1696619075046456225,
-2.778520107269287,1.3088114261627197,-1.3442710132705544,1696619075095491312,
-2.7745652198791504,1.2921596765518188,-1.2958217811794104,1696619075145448719,
-2.769463300704956,1.275243878364563,-1.2491454076275552,1696619075195470039,
-2.7640984058380127,1.2587682008743286,-1.201290606816967,1696619075245616909,
-2.758939743041992,1.2460585832595825,-1.163416993024205,1696619075286298936,
-2.7519421577453613,1.2303625345230103,-1.1164075597205771,1696619075334977730,
-2.740706205368042,1.2086483240127563,-1.0504345752966933,1696619075405459208,
