x, y, theta, stamp, 
1.4466164342653148e-06, -2.88051014800288e-07, 1.36321107719175e-06, 2792862000000, 
1.4285460878700093e-06, -2.892227817157533e-07, 1.3808995742011313e-06, 2792964000000, 
1.4659773143615413e-06, -2.891992397522767e-07, 1.3771608951007027e-06, 2793066000000, 
1.4396252817894816e-06, -2.8908073653371516e-07, 1.3842845279829863e-06, 2793168000000, 
1.4346102346925833e-06, -2.922566282236261e-07, 1.388646528118317e-06, 2793270000000, 
1.4966603690845628e-06, -2.922223603583622e-07, 1.3869613765112097e-06, 2793372000000, 
1.4798773063815962e-06, -2.9297131491422056e-07, 1.3887410334439679e-06, 2793474000000, 
1.4576965394337093e-06, -2.933183990470265e-07, 1.4011019842696549e-06, 2793576000000, 
1.5010884943675425e-06, -2.9399918637163086e-07, 1.4001204690279034e-06, 2793678000000, 
1.4937689278125704e-06, -2.946378010576638e-07, 1.3945921588263688e-06, 2793780000000, 
1.490423275171561e-06, -2.9649304811082767e-07, 1.4050108302822458e-06, 2793882000000, 
1.5217249076874807e-06, -2.9768756616643824e-07, 1.3948734615840654e-06, 2793984000000, 
1.49499004954265e-06, -2.9654248917016644e-07, 1.4085321249880531e-06, 2794086000000, 
1.5120824581237682e-06, -2.995418305162595e-07, 1.411293885350537e-06, 2794188000000, 
1.5447314725653037e-06, -2.98196861332383e-07, 1.402127163049127e-06, 2794290000000, 
1.523960834370125e-06, -2.987272556204461e-07, 1.415547683397646e-06, 2794358000000, 
1.5398681483455182e-06, -3.0177062995431384e-07, 1.4194197355212768e-06, 2794460000000, 
1.547628358786576e-06, -3.013307270515604e-07, 1.4115300194644522e-06, 2794562000000, 
1.5233233572162738e-06, -3.0225601061999766e-07, 1.4271532779631333e-06, 2794664000000, 
1.5653349333319576e-06, -3.047821239451033e-07, 1.4269707657816104e-06, 2794766000000, 
1.572416755457037e-06, -3.04842025741526e-07, 1.4206997722930764e-06, 2794868000000, 
1.5304008743430852e-06, -3.0495270382993516e-07, 1.4318242139712563e-06, 2794970000000, 
1.5515386443933336e-06, -3.058776022878165e-07, 1.4339076403443423e-06, 2795072000000, 
1.6011521798436203e-06, -3.0719762750340107e-07, 1.4251414487343e-06, 2795174000000, 
1.568604639750602e-06, -3.073957156702342e-07, 1.438933123240773e-06, 2795276000000, 
1.563111041820696e-06, -3.070968381109151e-07, 1.446717573153822e-06, 2795378000000, 
1.6172725990252428e-06, -3.0994931700256413e-07, 1.4450576063224647e-06, 2795480000000, 
1.6234487000639864e-06, -3.078853036933135e-07, 1.4378867720722031e-06, 2795548000000, 
1.8569553774989214e-06, -3.4594414674713366e-07, 1.571700639247172e-06, 2800104000000, 
1.9000039521453294e-06, -3.444889071468719e-07, 1.5722486604184327e-06, 2800172000000, 
